// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
21355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.545911	8.840883	2.352557	0.000000	-0.000000	-0.647881	0.330396	0.152000	-0.078005	0.005512	0.088368	0.023667	0.999998	0.001652	0.000760	-0.000390	75.006443	-3.447735	173.105110	NaN	NaN	0.000000	NaN	NaN	NaN
21356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.546338	8.797334	2.437168	0.000000	0.000000	-0.667674	0.322047	0.218123	-0.114406	0.005540	0.087931	0.024507	0.999998	0.001610	0.001091	-0.000572	74.426262	-3.473302	172.158671	NaN	NaN	0.000000	NaN	NaN	NaN
21357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.424236	8.742944	2.435141	0.124368	0.027986	-0.727942	0.336813	0.267926	-0.158710	0.004344	0.087385	0.024493	0.999997	0.001684	0.001340	-0.000794	74.809874	-3.365640	172.309482	NaN	NaN	0.000000	NaN	NaN	NaN
21358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.342338	8.801673	2.589205	0.210662	0.181027	-0.635904	0.338135	0.299171	-0.188646	0.003545	0.087969	0.026036	0.999997	0.001691	0.001496	-0.000943	74.995713	-3.216639	172.447053	NaN	NaN	0.000000	NaN	NaN	NaN
21359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.282993	8.907115	2.729354	0.263231	0.305368	-0.501217	0.319346	0.296012	-0.198656	0.002959	0.089025	0.027431	0.999997	0.001597	0.001480	-0.000993	75.124666	-3.025745	172.597810	NaN	NaN	0.000000	NaN	NaN	NaN
21360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.365891	8.981444	2.818630	0.172225	0.414274	-0.402933	0.318422	0.299161	-0.207521	0.003794	0.089766	0.028324	0.999997	0.001592	0.001496	-0.001038	75.300140	-2.867033	172.733371	NaN	NaN	0.000000	NaN	NaN	NaN
21361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.360974	9.128896	2.900428	0.157721	0.473918	-0.240337	0.340507	0.326958	-0.217785	0.003757	0.091235	0.029154	0.999997	0.001703	0.001635	-0.001089	75.399888	-2.658417	172.882058	NaN	NaN	0.000000	NaN	NaN	NaN
21362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.330394	9.391806	3.058101	0.185472	0.590269	0.050586	0.349507	0.346631	-0.233900	0.003467	0.093860	0.030739	0.999996	0.001748	0.001733	-0.001169	75.593021	-2.478934	173.040931	NaN	NaN	0.000000	NaN	NaN	NaN
21363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.277421	9.599391	3.207269	0.212300	0.666746	0.287908	0.340994	0.373511	-0.234574	0.002947	0.095936	0.032231	0.999996	0.001705	0.001868	-0.001173	75.513458	-2.224513	173.208986	NaN	NaN	0.000000	NaN	NaN	NaN
21364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.207313	9.774101	3.138454	0.243486	0.586204	0.435376	0.343311	0.402922	-0.241416	0.002255	0.097684	0.031548	0.999996	0.001717	0.002015	-0.001207	75.703127	-2.033153	173.398350	NaN	NaN	0.000000	NaN	NaN	NaN
21365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.066971	10.001923	3.160386	0.323144	0.488875	0.660485	0.330876	0.421528	-0.235648	0.000854	0.099966	0.031768	0.999996	0.001654	0.002108	-0.001178	75.410956	-1.723071	173.584117	NaN	NaN	0.000000	NaN	NaN	NaN
21366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.074196	10.067537	3.120238	0.426978	0.454770	0.709070	0.299150	0.409266	-0.215583	-0.000569	0.100629	0.031354	0.999996	0.001496	0.002046	-0.001078	75.576764	-1.544752	173.780273	NaN	NaN	0.000000	NaN	NaN	NaN
21367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.140005	10.118907	3.085810	0.408820	0.340582	0.753808	0.270194	0.382963	-0.180297	-0.001250	0.101148	0.030997	0.999997	0.001351	0.001915	-0.000901	75.187673	-1.168718	173.945598	NaN	NaN	0.000000	NaN	NaN	NaN
21368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.128254	9.994945	2.997662	0.364723	0.318257	0.611657	0.229782	0.325630	-0.138668	-0.001164	0.099916	0.030093	0.999998	0.001149	0.001628	-0.000693	75.316234	-1.044389	174.105828	NaN	NaN	0.000000	NaN	NaN	NaN
21369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.011329	9.825202	2.945383	0.168117	0.265994	0.439675	0.187242	0.274773	-0.085159	-0.000031	0.098224	0.029546	0.999999	0.000936	0.001374	-0.000426	74.939146	-0.675858	174.224259	NaN	NaN	0.000000	NaN	NaN	NaN
21370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.124923	9.518741	2.856917	0.016852	0.293551	0.121975	0.171143	0.222438	-0.038975	0.001300	0.095163	0.028649	0.999999	0.000856	0.001112	-0.000195	75.035876	-0.621277	174.341580	NaN	NaN	0.000000	NaN	NaN	NaN
21371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.351952	9.297943	2.699081	-0.266159	0.177996	-0.129811	0.198755	0.191425	-0.017240	0.003553	0.092952	0.027080	0.999999	0.000994	0.000957	-0.000086	74.763186	-0.392879	174.427934	NaN	NaN	0.000000	NaN	NaN	NaN
21372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.592724	9.181176	2.518294	-0.524801	0.079170	-0.288749	0.241284	0.182861	-0.005843	0.005953	0.091781	0.025288	0.999999	0.001206	0.000914	-0.000029	74.900771	-0.362234	174.528182	NaN	NaN	0.000000	NaN	NaN	NaN
21373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.760048	9.203244	2.436936	-0.704386	-0.007541	-0.287996	0.283840	0.191684	-0.003294	0.007625	0.091998	0.024493	0.999999	0.001419	0.000958	-0.000016	74.801608	-0.343109	174.595358	NaN	NaN	0.000000	NaN	NaN	NaN
21374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.930394	9.340445	2.350587	-0.887196	-0.082275	-0.177292	0.327535	0.203827	-0.008305	0.009332	0.093365	0.023649	0.999998	0.001638	0.001019	-0.000042	74.988638	-0.308082	174.706869	NaN	NaN	0.000000	NaN	NaN	NaN
21375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.191648	9.558233	2.223878	-1.129118	-0.227970	0.005587	0.355990	0.223416	-0.005118	0.011944	0.095542	0.022396	0.999998	0.001780	0.001117	-0.000026	75.076255	-0.496131	174.825299	NaN	NaN	0.000000	NaN	NaN	NaN
21376	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.333848	9.855916	2.300096	-1.271773	-0.186170	0.314332	0.346263	0.297534	-0.003193	0.013374	0.098519	0.023152	0.999997	0.001731	0.001488	-0.000016	75.273291	-0.450743	174.989636	NaN	NaN	0.000000	NaN	NaN	NaN
21377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.428913	10.003311	2.115772	-1.317753	-0.367991	0.420227	0.365782	0.384113	-0.000726	0.014330	0.099994	0.021313	0.999996	0.001829	0.001921	-0.000004	75.481242	-0.795778	175.260005	NaN	NaN	0.000000	NaN	NaN	NaN
21378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.473418	10.211871	1.876261	-1.388988	-0.615831	0.563488	0.359614	0.470856	0.010362	0.014773	0.102086	0.018911	0.999996	0.001798	0.002354	0.000052	75.683778	-0.734356	175.522791	NaN	NaN	0.000000	NaN	NaN	NaN
21379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.480346	10.201657	1.865497	-1.330491	-0.577966	0.562331	0.268048	0.523570	0.059789	0.014822	0.101996	0.018753	0.999996	0.001340	0.002618	0.000299	75.966761	-1.072551	175.796660	NaN	NaN	0.000000	NaN	NaN	NaN
21380	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.522271	9.908078	1.737395	-1.382514	-0.611340	0.248166	0.209196	0.584089	0.106602	0.015221	0.099071	0.017433	0.999995	0.001046	0.002920	0.000533	76.080332	-1.050989	176.136219	NaN	NaN	0.000000	NaN	NaN	NaN
21381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.494586	9.826886	1.700006	-1.254441	-0.594416	0.175532	0.246590	0.669044	0.124406	0.014942	0.098257	0.017071	0.999993	0.001233	0.003345	0.000622	76.404543	-1.588477	176.740667	NaN	NaN	0.000000	NaN	NaN	NaN
21382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.385157	9.891485	1.722409	-1.141751	-0.579311	0.241547	0.259397	0.754125	0.129811	0.013853	0.098901	0.017300	0.999992	0.001297	0.003771	0.000649	76.541148	-1.559715	177.178323	NaN	NaN	0.000000	NaN	NaN	NaN
21383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.390567	9.764652	1.484593	-1.043165	-0.729020	0.080060	0.217746	0.816229	0.139381	0.013898	0.097640	0.014896	0.999991	0.001089	0.004081	0.000697	76.923151	-2.186372	177.818110	NaN	NaN	0.000000	NaN	NaN	NaN
21384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.393957	9.563597	1.383777	-1.054881	-0.773695	-0.137515	0.183483	0.877173	0.146597	0.013930	0.095633	0.013864	0.999990	0.000917	0.004386	0.000733	77.009007	-2.154839	178.327050	NaN	NaN	0.000000	NaN	NaN	NaN
21385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.305012	9.401498	1.403759	-0.850798	-0.682789	-0.280022	0.164016	0.936938	0.150235	0.013045	0.094013	0.014054	0.999988	0.000820	0.004685	0.000751	77.349839	-2.779130	179.457379	NaN	NaN	0.000000	NaN	NaN	NaN
21386	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.368198	9.278764	1.505213	-0.917283	-0.554309	-0.374233	0.149894	0.963032	0.148625	0.013686	0.092787	0.015056	0.999988	0.000749	0.004815	0.000743	77.408871	-2.741653	-179.984926	NaN	NaN	0.000000	NaN	NaN	NaN
21387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.358835	9.126796	1.593599	-0.815803	-0.348809	-0.490821	0.138563	1.011289	0.149634	0.013601	0.091267	0.015930	0.999987	0.000693	0.005056	0.000748	77.839509	-3.382264	178.913648	NaN	NaN	0.000000	NaN	NaN	NaN
21388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.234157	8.924011	1.595015	-0.705886	-0.306016	-0.696040	0.175523	1.074561	0.137480	0.012366	0.089235	0.015962	0.999985	0.000878	0.005373	0.000687	77.903810	-3.329892	179.533195	NaN	NaN	0.000000	NaN	NaN	NaN
21389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.061904	8.860908	1.607382	-0.482186	-0.302930	-0.762675	0.232803	1.117556	0.123646	0.010654	0.088597	0.016117	0.999984	0.001164	0.005588	0.000618	78.020569	-3.539545	-176.319009	NaN	NaN	0.000000	NaN	NaN	NaN
21390	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.843659	8.934300	1.661465	-0.270764	-0.238702	-0.693278	0.287747	1.127942	0.113409	0.008480	0.089324	0.016695	0.999983	0.001439	0.005640	0.000567	78.145892	-3.469624	-175.672048	NaN	NaN	0.000000	NaN	NaN	NaN
21391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.742132	9.052629	1.742765	-0.135702	-0.111922	-0.565683	0.334618	1.108300	0.106543	0.007470	0.090501	0.017538	0.999983	0.001673	0.005541	0.000533	78.557215	-3.672709	-174.796668	NaN	NaN	0.000000	NaN	NaN	NaN
21392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.786798	9.189738	1.696693	-0.177749	-0.164004	-0.437692	0.370240	1.099258	0.090129	0.007920	0.091869	0.017094	0.999983	0.001851	0.005496	0.000451	78.729474	-3.599254	-174.167741	NaN	NaN	0.000000	NaN	NaN	NaN
21393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.829280	9.366066	1.686030	-0.125927	-0.136345	-0.261820	0.399738	1.115817	0.076646	0.008352	0.093630	0.017001	0.999982	0.001999	0.005579	0.000383	79.171369	-4.086721	-172.226254	NaN	NaN	0.000000	NaN	NaN	NaN
21394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.802919	9.468672	1.682655	-0.106240	-0.126239	-0.163623	0.417852	1.146014	0.062073	0.008097	0.094654	0.016978	0.999981	0.002089	0.005730	0.000310	79.364749	-3.999311	-171.572883	NaN	NaN	0.000000	NaN	NaN	NaN
21395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.766909	9.737665	1.723287	-0.021748	0.027481	0.105912	0.468713	1.177198	0.042705	0.007750	0.097338	0.017416	0.999980	0.002344	0.005886	0.000214	80.251748	-4.292415	-169.852200	NaN	NaN	0.000000	NaN	NaN	NaN
21396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.740375	9.950450	1.771984	-0.004315	0.081152	0.321058	0.464091	1.189384	0.050893	0.007485	0.099465	0.017906	0.999980	0.002320	0.005947	0.000254	80.467457	-4.206903	-169.173635	NaN	NaN	0.000000	NaN	NaN	NaN
21397	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.588803	10.031261	1.628593	0.203677	0.058379	0.364747	0.469127	1.208896	0.069933	0.005952	0.100276	0.016485	0.999979	0.002346	0.006044	0.000350	80.982126	-4.469798	-168.283159	NaN	NaN	0.000000	NaN	NaN	NaN
21398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.422790	10.203398	1.570483	0.375051	0.052955	0.512565	0.512268	1.183291	0.084903	0.004278	0.101995	0.015941	0.999979	0.002561	0.005916	0.000425	81.223141	-4.412827	-167.603810	NaN	NaN	0.000000	NaN	NaN	NaN
21399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.247843	10.299250	1.586856	0.526819	0.224995	0.595278	0.482927	1.124480	0.127439	0.002503	0.102955	0.016103	0.999981	0.002415	0.005622	0.000637	81.925469	-4.451210	-166.996388	NaN	NaN	0.000000	NaN	NaN	NaN
21400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.145192	10.272583	1.566445	0.616141	0.275237	0.557715	0.429164	1.056203	0.174584	0.001446	0.102693	0.015877	0.999983	0.002146	0.005281	0.000873	82.123699	-4.466061	-166.381379	NaN	NaN	0.000000	NaN	NaN	NaN
21401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.018867	10.293281	1.702579	0.691152	0.548433	0.583087	0.440926	1.038525	0.183465	0.000183	0.102895	0.017252	0.999984	0.002205	0.005193	0.000917	82.652629	-4.563513	-164.891267	NaN	NaN	0.000000	NaN	NaN	NaN
21402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.398703	10.465190	1.756348	1.084281	0.740543	0.724844	0.502028	1.054196	0.155585	-0.003975	0.104604	0.017847	0.999983	0.002510	0.005271	0.000778	82.891683	-4.575621	-164.278940	NaN	NaN	0.000000	NaN	NaN	NaN
21403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.717904	10.818479	1.657874	1.451523	0.853207	1.025585	0.545694	1.007302	0.136354	-0.007168	0.108134	0.016910	0.999983	0.002728	0.005036	0.000682	83.533527	-4.826811	-163.134554	NaN	NaN	0.000000	NaN	NaN	NaN
21404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.911513	10.800422	1.394993	1.690294	0.721702	0.959857	0.482918	0.910640	0.166357	-0.009141	0.107962	0.014252	0.999986	0.002415	0.004553	0.000832	83.765645	-4.863398	-162.603614	NaN	NaN	0.000000	NaN	NaN	NaN
21405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.738888	10.318753	0.909291	1.616071	0.343527	0.440095	0.390404	0.796165	0.217434	-0.007464	0.103161	0.009324	0.999990	0.001952	0.003981	0.001087	84.077396	-5.059721	-161.620223	NaN	NaN	0.000000	NaN	NaN	NaN
21406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.423950	9.620056	0.607486	1.332922	0.052931	-0.256819	0.346223	0.753736	0.254424	-0.004339	0.096184	0.006258	0.999991	0.001731	0.003769	0.001272	84.236358	-5.160274	-161.174062	NaN	NaN	0.000000	NaN	NaN	NaN
21407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.177475	9.026191	0.429071	1.083262	-0.107657	-0.840368	0.412818	0.763711	0.242072	-0.001867	0.090251	0.004484	0.999990	0.002064	0.003819	0.001210	84.462077	-5.197447	-160.483966	NaN	NaN	0.000000	NaN	NaN	NaN
21408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.104163	8.713579	0.229834	0.849701	-0.325717	-1.143092	0.498426	0.788215	0.206318	0.000961	0.087131	0.002512	0.999989	0.002492	0.003941	0.001032	84.705817	-5.271954	-160.021355	NaN	NaN	0.000000	NaN	NaN	NaN
21409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.314383	8.607849	0.057839	0.684796	-0.512204	-1.241471	0.573174	0.841540	0.167799	0.003075	0.086079	0.000812	0.999987	0.002866	0.004208	0.000839	84.976443	-5.232888	-159.521334	NaN	NaN	0.000000	NaN	NaN	NaN
21410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.541424	8.908660	-0.039159	0.535400	-0.645206	-0.926986	0.671835	0.905025	0.125727	0.005357	0.089091	-0.000117	0.999984	0.003359	0.004525	0.000629	85.313774	-5.260193	-158.996432	NaN	NaN	0.000000	NaN	NaN	NaN
21411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.608182	9.331692	-0.120153	0.527765	-0.708943	-0.502300	0.742638	1.001185	0.093394	0.006033	0.093323	-0.000885	0.999980	0.003713	0.005006	0.000467	85.682511	-5.179174	-158.300482	NaN	NaN	0.000000	NaN	NaN	NaN
21412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.634321	9.795775	-0.165816	0.556762	-0.713094	-0.036789	0.775877	1.096660	0.075030	0.006299	0.097966	-0.001313	0.999977	0.003879	0.005483	0.000375	86.070435	-5.176245	-157.668176	NaN	NaN	0.000000	NaN	NaN	NaN
21413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.449774	10.113012	-0.315244	0.780234	-0.736016	0.258248	0.784727	1.202225	0.071370	0.004444	0.101143	-0.002782	0.999974	0.003924	0.006011	0.000357	86.418623	-5.026381	-156.887415	NaN	NaN	0.000000	NaN	NaN	NaN
21414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.193210	10.230896	-0.433319	1.055782	-0.673085	0.352356	0.771221	1.288801	0.079902	0.001865	0.102325	-0.003951	0.999972	0.003856	0.006444	0.000400	86.795878	-5.027747	-156.144789	NaN	NaN	0.000000	NaN	NaN	NaN
21415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.082103	10.308597	-0.456016	1.282444	-0.516080	0.413275	0.751789	1.345618	0.108551	-0.000906	0.103102	-0.004167	0.999970	0.003759	0.006728	0.000543	87.165170	-4.896711	-155.315739	NaN	NaN	0.000000	NaN	NaN	NaN
21416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.301274	10.173744	-0.551837	1.493047	-0.432596	0.261215	0.702927	1.363262	0.135547	-0.003118	0.101754	-0.005140	0.999970	0.003515	0.006816	0.000678	87.500942	-4.937294	-154.529049	NaN	NaN	0.000000	NaN	NaN	NaN
21417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.386540	9.967694	-0.699650	1.578633	-0.457273	0.050992	0.671012	1.342409	0.180138	-0.004001	0.099696	-0.006635	0.999971	0.003355	0.006712	0.000901	87.842675	-4.853785	-153.655954	NaN	NaN	0.000000	NaN	NaN	NaN
21418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.470366	9.689339	-0.860266	1.693792	-0.488741	-0.234780	0.654370	1.322305	0.206740	-0.004859	0.096916	-0.008254	0.999972	0.003272	0.006611	0.001034	88.152806	-4.945038	-152.891919	NaN	NaN	0.000000	NaN	NaN	NaN
21419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.483608	9.536007	-1.043299	1.747162	-0.571132	-0.385148	0.665550	1.301983	0.229629	-0.005012	0.095388	-0.010083	0.999973	0.003328	0.006510	0.001148	88.519908	-4.895516	-152.021425	NaN	NaN	0.000000	NaN	NaN	NaN
21420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.371487	9.503602	-1.088029	1.665857	-0.585408	-0.404076	0.678577	1.289754	0.228857	-0.003892	0.095068	-0.010533	0.999973	0.003393	0.006449	0.001144	88.844892	-5.008950	-151.276901	NaN	NaN	0.000000	NaN	NaN	NaN
21421	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.340271	9.635790	-1.187740	1.667505	-0.604214	-0.261312	0.694337	1.312590	0.211729	-0.003581	0.096395	-0.011520	0.999972	0.003472	0.006563	0.001059	89.253324	-4.955771	-150.408994	NaN	NaN	0.000000	NaN	NaN	NaN
21422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.377012	9.599677	-1.261038	1.728764	-0.572697	-0.295910	0.662407	1.341863	0.176630	-0.003938	0.096034	-0.012266	0.999972	0.003312	0.006709	0.000883	89.565943	-5.048375	-149.636261	NaN	NaN	0.000000	NaN	NaN	NaN
21423	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.461115	9.524926	-1.290734	1.775255	-0.478405	-0.366949	0.646380	1.360797	0.150298	-0.004769	0.095287	-0.012567	0.999971	0.003232	0.006804	0.000751	89.963623	-4.972952	-148.716294	NaN	NaN	0.000000	NaN	NaN	NaN
21424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.492792	9.404811	-1.500644	1.893654	-0.571656	-0.483590	0.664015	1.397274	0.099849	-0.005078	0.094095	-0.014659	0.999970	0.003320	0.006986	0.000499	90.274483	-5.031151	-147.912808	NaN	NaN	0.000000	NaN	NaN	NaN
21425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.528429	9.471293	-1.660473	1.969476	-0.601722	-0.405225	0.707148	1.416898	0.052135	-0.005425	0.094769	-0.016232	0.999969	0.003536	0.007084	0.000261	90.726104	-4.906753	-146.986454	NaN	NaN	0.000000	NaN	NaN	NaN
21426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.502850	9.471606	-1.754929	1.983985	-0.617149	-0.393219	0.686278	1.452041	0.030376	-0.005169	0.094775	-0.017187	0.999968	0.003431	0.007260	0.000152	91.048179	-4.936357	-146.151813	NaN	NaN	0.000000	NaN	NaN	NaN
21427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.467468	9.424380	-1.761656	1.907448	-0.562783	-0.421982	0.650625	1.497890	0.009293	-0.004809	0.094300	-0.017274	0.999967	0.003253	0.007489	0.000046	91.482426	-4.800971	-145.162508	NaN	NaN	0.000000	NaN	NaN	NaN
21428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.437659	9.484638	-1.820348	1.901901	-0.550368	-0.349975	0.687950	1.519381	-0.021555	-0.004503	0.094909	-0.017843	0.999965	0.003440	0.007597	-0.000108	91.803864	-4.812901	-144.288914	NaN	NaN	0.000000	NaN	NaN	NaN
21429	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.380592	9.631130	-1.975520	1.899784	-0.614627	-0.178439	0.680044	1.576417	-0.040805	-0.003940	0.096378	-0.019397	0.999963	0.003400	0.007882	-0.000204	92.266262	-4.666417	-143.252349	NaN	NaN	0.000000	NaN	NaN	NaN
21430	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.392726	9.692128	-1.919928	1.858704	-0.485495	-0.112854	0.631735	1.624879	-0.048813	-0.004058	0.096982	-0.018860	0.999962	0.003159	0.008124	-0.000244	92.552595	-4.676921	-142.317912	NaN	NaN	0.000000	NaN	NaN	NaN
